text,label
"Determine the optimal well spacing for a newly discovered oil reservoir with a formation factor of 0.8 mV/m and an average permeability of 50 mD, assuming a desired cumulative production of 10 million STB over a 10-year period. The reservoir is bounded by a horizontal faults with a strike length of 2 km and a dip length of 1 km. The well spacing is currently set at 400 meters, resulting in a production rate of 1,200 STB/D. However, the operator wants to increase the production rate by 20% while maintaining a stable reservoir pressure. What are the recommended well spacings and what are the corresponding production rates and reservoir pressures?",1
"The petrophysical properties of the unconsolidated sandstone reservoir in the South Parsons Field are characterized by an average porosity of 25% and a permeability of 500 mD. However, the presence of heavy metal ions in the formation water has been observed to significantly affect the scaling tendency, as indicated by the Langelier Saturation Index (LSI) calculations. Determine the critical scaling concentration for barium sulfate using the Hall plot method, assuming a reservoir temperature of 120°C and a salinity of 35 ppt.",1
"A dynamic reservoir model is being used to simulate the transient flow behavior of a gas condensate reservoir. The reservoir's permeability is heterogeneous and anisotropic, with a maximum permeability of 500 mD and a minimum permeability of 100 mD. The reservoir's porosity is 0.2, and the fluid's viscosity is 0.5 cP. The simulation results indicate that the reservoir's pressure is decreasing at a rate of 1.5 psi/day, and the condensate-gas ratio is increasing at a rate of 0.05 scf/bbl/day. What is the effect of the permeability anisotropy on the reservoir's productivity index?",1
"A petroleum company is considering the development of a new oil field with an estimated ultimate recovery (EUR) of 12 million barrels. The operating costs are expected to be $15 million per year, and the capital expenditure (CAPEX) is $100 million. The company is evaluating two different production strategies: a high-rate production (HRP) scenario with a production rate of 10,000 barrels per day (bbl/day) and a low-rate production (LRP) scenario with a production rate of 5,000 bbl/day. What are the estimated net present values (NPV) of the two production scenarios, assuming a discount rate of 10% and a production period of 10 years?",0
"What are the implications of non-Darcy flow on the design of a horizontal well in a low-permeability reservoir? Consider the effects of turbulence and pressure drop, and provide an example calculation to illustrate the difference in well performance between a laminar and turbulent flow regime.",1
"Assuming a 5-year production profile with an initial decline rate of 5% per annum, and a wellhead flowing pressure of 2,000 psi, estimate the production rate at 1,800 days using a type-curve analysis, and further calculate the cumulative production at the end of the fifth year, considering the effect of the decline rate on the overall production volume.",3
"A steady-state numerical simulation of a horizontal well with a constrained reservoir pressure is performed to determine the impact of changing the perforation interval on the well's total production rate. The well's production performance is evaluated using a dual-porosity model with variable skin factors, taking into account the effects of the reservoir's anisotropy, compaction, and non-Darcy flow. The simulated results indicate a 25% increase in the well's production rate when the perforation interval is optimized to match the well's most productive zone. Furthermore, the study reveals that the well's productivity index (PI) is directly proportional to the reservoir's permeability-thickness product (kh) and inversely proportional to the well's drainage radius (r_w).",1
"A gas processing facility employing a combination of cryogenic distillation and molecular sieves is being optimized for maximum ethane recovery. The optimization involves a thorough examination of the facility's current design, including the capacity and efficiency of the distillation columns, the sieves' selectivity and throughput, and the overall heat integration scheme. The objective is to minimize energy consumption and maximize the recovery of valuable ethane components while adhering to industry standards for safety and environmental sustainability. Specific design modifications are being considered to optimize the process, including the implementation of a hybrid adsorption-enhanced distillation technology.",3
"Design a water injection system for a mature oil field with a total active production of 20,000 barrels per day, considering the injection rate should not exceed 10% of the total production. The system must include a network of pipelines, pumps, and injection wells, with a maximum pressure drop of 500 psi across the entire system. Furthermore, the system should be designed to accommodate future expansion to handle an additional 5,000 barrels per day. Provide a detailed description of the system's components, including specifications for the pipelines, pumps, and injection wells, as well as a schematic diagram of the system.",3
"In order to optimize the production of a gas condensate reservoir, we need to analyze the impact of reservoir pressure decline on the condensate dropout and its subsequent effect on the gas-oil ratio (GOR). The reservoir is characterized by a high initial reservoir pressure of 4000 psia and a condensate saturation of 20%. The gas production rate is 10 MMscfd, and the condensate production rate is 500 BOPD. We can use the Standing-Katz correlation to estimate the condensate dropout as a function of reservoir pressure. However, this correlation assumes a constant gas-oil ratio, which may not be the case in this reservoir. Therefore, we need to consider the effect of gas-oil ratio on the condensate dropout using the Vasquez- Beggs correlation. Can we derive the expression for condensate dropout as a function of gas-oil ratio and reservoir pressure?",1
"Design a secondary separation train for a gas processing plant with a maximum inlet pressure of 2500 psig and a gas flow rate of 200 MMSCFD, considering the API 661 standard for gas-liquid separators and the NGL recovery efficiency of at least 95%. The train should be able to handle a liquid dropout of 10% and a gas molecular weight of 20.5 g/mol. Provide a detailed calculation of the tray spacing, liquid weir height, and inlet velocity, assuming a fluid dynamic similarity with a 1:10 scale model.",3
"Discuss the implications of the Couette-Taylor flow regime on the stability of concentric annular flow in horizontal wells, and how this affects the design of wellborecovery processes in heavy oil production.",6
